Date,Time,Software,Action,Version,ID,Denial Message
not_provided,11:34:55,(ARCGIS),OUT:,"Editor",rzhang@SGH227R9P3,
not_provided,11:34:55,(ARCGIS),OUT:,"VBA",rzhang@SGH227R9P3,
not_provided,11:35:10,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:35:10,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:35:10,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:35:14,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:35:16,(ARCGIS),OUT:,"Editor",pshih@SGH227R9P9,
not_provided,11:35:16,(ARCGIS),OUT:,"VBA",pshih@SGH227R9P9,
not_provided,11:35:18,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:35:18,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:35:23,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:35:27,(ARCGIS),OUT:,"Viewer",cbroadbe@SGH448T6H1,
not_provided,11:35:27,(ARCGIS),OUT:,"VBA",cbroadbe@SGH448T6H1,
not_provided,11:35:29,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:35:29,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,11:35:48,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:36:03,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:36:21,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:36:21,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:36:22,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:36:56,(ARCGIS),IN:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:36:56,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:37:04,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:37:48,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:37:51,(ARCGIS),OUT:,"Viewer",nperrie@5CG44804CX,
not_provided,11:38:01,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:38:08,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:38:08,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:38:14,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:38:14,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:38:27,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:38:28,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:38:32,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,11:38:33,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:38:33,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,11:38:35,(ARCGIS),OUT:,"VBA",asawant@SGH227R9PF,
not_provided,11:38:41,(ARCGIS),UNSUPPORTED:,"Tracking",asawant@SGH227R9PF,License server system does not support this feature. ,
not_provided,11:38:43,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,11:38:46,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,11:38:46,(ARCGIS),OUT:,"VBA",asawant@SGH227R9PF,
not_provided,11:38:47,(ARCGIS),OUT:,"Editor",pshih@SGH227R9P9,
not_provided,11:38:47,(ARCGIS),OUT:,"VBA",pshih@SGH227R9P9,
not_provided,11:38:48,(ARCGIS),UNSUPPORTED:,"Tracking",asawant@SGH227R9PF,License server system does not support this feature. ,
not_provided,11:38:56,(ARCGIS),OUT:,"Editor",rzhang@SGH227R9P3,
not_provided,11:38:56,(ARCGIS),OUT:,"VBA",rzhang@SGH227R9P3,
not_provided,11:38:56,(ARCGIS),OUT:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:38:58,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:39:03,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:39:10,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:39:10,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:39:11,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:39:16,(ARCGIS),OUT:,"Editor",pshih@SGH227R9P9,
not_provided,11:39:16,(ARCGIS),OUT:,"VBA",pshih@SGH227R9P9,
not_provided,11:39:18,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:39:18,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:39:27,(ARCGIS),OUT:,"Viewer",cbroadbe@SGH448T6H1,
not_provided,11:39:27,(ARCGIS),OUT:,"VBA",cbroadbe@SGH448T6H1,
not_provided,11:39:29,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:39:29,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
