Name,Type, Link
Autohotkey,Macro recorder, https://www.bing.com/search?q=auto+hot+key&cvid=90dd43b0ef2a4ee4a1a4eb78088abc68&aqs=edge..69i57j0l6.4703j0j1&FORM=ANAB01&PC=U531
Selenium,Testing App, https://www.bing.com/search?q=selenium&qs=EP&pq=selen&sk=AS1&sc=6-5&cvid=9E2CCBEA4B504E988269323F1A4A29AC&FORM=QBRE&sp=2
Inkscape,Photoshop equivaletn,https://inkscape.org/
Fiddler,Traffic checker,https://www.telerik.com/fiddler
SQLLite,Thin client Db,
DB Browser for SQLLite,For SQLLite,
Atom,FrontEnd RAD,
Visual code,FrontEnd RAD,
